"id","name","country_id","code"
"state11","Aceh","Indonesia","P11"
"state12","Sumatra Utara","Indonesia","P12"
"state13","Sumatra Barat","Indonesia","P13"
"state14","Riau","Indonesia","P14"
"state15","Jambi","Indonesia","P15"
"state16","Sumatra Selatan","Indonesia","P16"
"state17","Bengkulu","Indonesia","P17"
"state18","Lampung","Indonesia","P18"
"state19","Bangka Belitung","Indonesia","P19"
"state21","Kepulauan Riau","Indonesia","P21"
"state31","Jakarta","Indonesia","P31"
"state32","Jawa Barat","Indonesia","P32"
"state33","Jawa Tengah","Indonesia","P33"
"state34","Yogyakarta","Indonesia","P34"
"state35","Jawa Timur","Indonesia","P35"
"state36","Banten","Indonesia","P36"
"state51","Bali","Indonesia","P51"
"state52","Nusa Tenggara Barat","Indonesia","P52"
"state53","Nusa Tenggara Timur","Indonesia","P53"
"state61","Kalimantan Barat","Indonesia","P61"
"state62","Kalimantan Tengah","Indonesia","P62"
"state63","Kalimantan Selatan","Indonesia","P63"
"state64","Kalimantan Timur","Indonesia","P64"
"state65","Kalimantan Utara","Indonesia","P65"
"state71","Sulawesi Utara","Indonesia","P71"
"state72","Sulawesi Tengah","Indonesia","P72"
"state73","Sulawesi Selatan","Indonesia","P73"
"state74","Sulawesi Tenggara","Indonesia","P74"
"state75","Gorontalo","Indonesia","P75"
"state76","Sulawesi Barat","Indonesia","P76"
"state81","Maluku","Indonesia","P81"
"state82","Maluku Utara","Indonesia","P82"
"state91","Papua Barat","Indonesia","P91"
"state94","Papua","Indonesia","P94"
